
5,8945,2959,
10,9864,4538,
15,11237,7019,
20,12813,9050,
25,14716,11520,
30,16633,14310,
35,17444,15044,
40,20494,19410,
45,21867,21468,
50,23953,25580,
55,26559,28310,
60,29975,33546,
65,31752,34494,
70,37623,41751,
75,44300,49739,
80,46639,86176,
85,47001,54418,
90,49678,57282,
95,56322,66398,
100,59195,69791,
105,76197,84854,
110,67483,79910,
115,72098,86034,
120,79929,96033,
125,85685,102967,
130,90460,105884,
135,95671,113582,
140,104543,124633,
145,106123,125657,
150,110781,132311,
155,114704,137672,
160,123172,146959,
165,198920,219949,
170,138399,167866,
175,146361,178049,
180,152935,185636,
185,161089,195515,
190,174293,212673,
195,175633,214519,
200,181905,222480,
205,192833,235880,
210,199792,244463,
215,228209,279140,
220,236497,289967,
225,258882,318128,
230,258986,318398,
235,251296,347616,
240,266350,333953,
245,272148,336109,
